Date;Axe;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Régularité;Commentaires
2015-06;Sud-Est;LYON PART DIEU;MONTPELLIER;340;338;2;122;63.9;Des travaux de modernisation de l'infrastructure ont perturbé la régularité de cette relation en Juin
2015-06;Est;NANCY;PARIS EST;287;287;0;14;95.1;
2015-06;Sud-Est;NICE VILLE;PARIS LYON;184;184;0;44;76.1;Des travaux de modernisation de l'infrastructure ont perturbé la régularité de cette relation en Juin
2015-06;Est;PARIS EST;STRASBOURG;430;430;0;42;90.2;
2015-06;Sud-Est;PARIS LYON;AIX EN PROVENCE TGV;441;440;1;60;86.4;
2015-06;Sud-Est;PARIS LYON;ANNECY;162;162;0;11;93.2;
2015-06;Sud-Est;PARIS LYON;AVIGNON TGV;531;530;1;77;85.5;
2015-06;Sud-Est;PARIS LYON;DIJON VILLE;468;468;0;20;95.7;
2015-06;Sud-Est;PARIS LYON;MARSEILLE ST CHARLES;463;462;1;53;88.5;
2015-06;Sud-Est;PARIS LYON;MONTPELLIER;343;342;1;63;81.6;Des travaux de modernisation de l'infrastructure ont perturbé la régularité de cette relation en Juin
2015-06;Sud-Est;PARIS LYON;NIMES;343;343;0;71;79.3;Des travaux de modernisation de l'infrastructure ont perturbé la régularité de cette relation en Juin
2015-10;Sud-Est;SAINT ETIENNE CHATEAUCREUX;PARIS LYON;112;112;0;19;83.0;
2015-10;Atlantique;ST MALO;PARIS MONTPARNASSE;101;99;2;5;94.9;Cette ligne a été touchée par deux incidents majeurs liés à l’alimentation électrique : l’un au Mans le 22/10 retardant 82 trains pour 4852 minutes de retard en cumul, le second en gare de Rennes le 23/10, suite à la chute d’une grue (12 trains pour 610 minutes). Par ailleurs, des dérangements de signalisation ont entraîné des retards sur la Ligne à Grande Vitesse les 2/10 (14 TGV retardés pour 524 minutes) & 19/10 (12 TGV pour 279 minutes) et en sortie du Mans (côté Laval) le 8/10 (23 trains pour 534 minutes). De plus, cette ligne a été ralentie par deux défaillances Matériel : l’une sur la Ligne à Grande Vitesse le 11/10 (10 trains pour 222 minutes), l’autre vers Laval le 27/10 (9 trains pour 182 minutes).
2015-10;Est;STRASBOURG;NANTES;43;42;1;3;92.9;
2015-11;Atlantique;ANGERS SAINT LAUD;PARIS MONTPARNASSE;453;453;0;34;92.5;
2015-11;Sud-Est;BESANCON FRANCHE COMTE TGV;PARIS LYON;222;222;0;12;94.6;
2015-11;Atlantique;BORDEAUX ST JEAN;PARIS MONTPARNASSE;654;650;4;71;89.1;"Ce mois-ci, la liaison a été marquée par:
Le 12: la présence d'une personne dans les voies à la sortie de la gare de Paris Montparnasse (29 TGV; 558mn)
Le 13: un défaut de géométrie de la voie à Poitiers (32 TGV; 343mn)
Le 15: le heurt d'un chevreuil vers Villeperdue (21 TGV; 635mn)
Le 23: le heurt d'un animal sur la ligne grande vitesse vers Vendôme (37 TGV; 1074mn)
Le 24: un colis suspect dans un train  à Bordeaux (20 TGV; 641mn)
Le 29: un colis suspect à Paris Montparnasse (19 TGV; 221mn)"
2015-11;Atlantique;LE MANS;PARIS MONTPARNASSE;453;453;0;53;88.3;
2015-11;Nord;LILLE;PARIS NORD;572;569;3;76;86.6;
2015-11;Nord;LYON PART DIEU;LILLE;268;268;0;66;75.4;"On voit apparaître en ce mois de novembre une recrudescence de bagages abandonnés se transformant en colis suspect suite aux évènements tragiques survenus ce vendredi 13 (1 à 2 par jour au moins).
A cela s'ajoute un grand nombre  de heurt d'animaux (exemple les 03, 06 et 24) ainsi que des défauts d'alimentation électrique (exemple les 07, 08, 09, 13, 19 et 23)."
2015-11;Sud-Est;LYON PART DIEU;PARIS LYON;634;632;2;43;93.2;
2015-11;Atlantique;LYON PART DIEU;RENNES;84;84;0;19;77.4;"Ce mois-ci, la liaison a été marquée par:
Le 5: un rail cassé vers Sillé-le-Guillaume (31 TGV; 455mn)
Le 7: le choc d'un volatile dans le pantographe provocant des disjonctions caténaires à l'entre de la ligne grande vitesse à Connerré (10 TGV; 358mn)
Le 11: un colis suspect en gare de Lyon Part-Dieu (14 TGV; 268mn)
Le 12: la présence d'une personne dans les voies à la sortie de la gare de Paris Montparnasse (29 TGV; 558mn)
Le 23: le heurt d'un animal sur la ligne grande vitesse vers Vendôme (37 TGV; 1074mn)
Le 24: une avarie matérielle à la sortie du complexe lyonnais (23 TGV; 1012mn)
Le 27: le heurt d'un sanglier par un TER vers Laval (10 TGV; 1897mn)
Le 29: un colis suspect à Paris Montparnasse (19 TGV; 221mn)
Le 29: le heurt d'un sanglier vers Laval (11 TGV; 873mn)
Le 29: une restitution tardive de travaux à Valenton"
2015-11;Est;NANCY;PARIS EST;285;285;0;12;95.8;
2015-11;Sud-Est;PARIS LYON;MACON LOCHE;201;201;0;11;94.5;
2015-11;Sud-Est;PARIS LYON;MARSEILLE ST CHARLES;460;459;1;20;95.6;
2015-11;Sud-Est;PARIS LYON;MONTPELLIER;310;310;0;42;86.5;Suite aux attentats du 13 novembre à Paris, une recrudescence d'alertes à la bombe et d'interventions des forces de l'ordre ont impacté la régularité des TGV
2015-11;Sud-Est;PARIS LYON;MULHOUSE VILLE;297;297;0;14;95.3;
2015-11;Sud-Est;PARIS LYON;NICE VILLE;185;184;1;32;82.6;Suite aux attentats du 13 novembre à Paris, une recrudescence d'alertes à la bombe et d'interventions des forces de l'ordre ont impacté la régularité des TGV
2015-11;Sud-Est;PARIS LYON;NIMES;309;309;0;52;83.2;
2015-11;Atlantique;PARIS MONTPARNASSE;POITIERS;494;494;0;29;94.1;
2015-11;Atlantique;PARIS MONTPARNASSE;RENNES;541;541;0;41;92.4;
2015-11;Atlantique;PARIS MONTPARNASSE;TOULOUSE MATABIAU;143;142;1;26;81.7;"Ce mois-ci, la liaison a été marquée par:
Le 1er et le 2: les conséquences du déraillement d'un train de ballast vers  Tonneins (36 TGV; 2828mn)
le 12: la présence d'une personne dans les voies à la sortie de la gare de Paris Montparnasse (29 TGV; 558mn)
Le 13: un défaut de géométrie de la voie à Poitiers (32 TGV; 343mn)
Le 15: le heurt d'un chevreuil vers Villeperdue (21 TGV; 635mn)
Le 23: le heurt d'un animal sur la ligne grande vitesse vers Vendôme (37 TGV; 1074mn)
Le 24: un colis suspect dans un train  à Bordeaux (20 TGV; 641mn)
Le 29: un colis suspect à Paris Montparnasse (19 TGV; 221mn)"
2015-11;Sud-Est;SAINT ETIENNE CHATEAUCREUX;PARIS LYON;114;114;0;12;89.5;
2015-11;Sud-Est;TOULON;PARIS LYON;230;228;2;23;89.9;Suite aux attentats du 13 novembre à Paris, une recrudescence d'alertes à la bombe et d'interventions des forces de l'ordre ont impacté la régularité des TGV
2015-11;Atlantique;TOURS;PARIS MONTPARNASSE;195;195;0;29;85.1;
2015-12;Atlantique;ANGOULEME;PARIS MONTPARNASSE;357;354;3;20;94.4;
2015-12;Nord;ARRAS;PARIS NORD;309;309;0;33;89.3;
2015-12;Atlantique;BORDEAUX ST JEAN;PARIS MONTPARNASSE;682;678;4;37;94.5;
2015-12;Nord;DOUAI;PARIS NORD;190;190;0;25;86.8;
2015-12;Nord;DUNKERQUE;PARIS NORD;249;249;0;12;95.2;
2015-12;Atlantique;LAVAL;PARIS MONTPARNASSE;233;233;0;18;92.3;
2015-12;Nord;LILLE;LYON PART DIEU;309;309;0;25;91.9;
2015-12;Nord;MARSEILLE ST CHARLES;LILLE;207;207;0;24;88.4;
2015-12;Sud-Est;MARSEILLE ST CHARLES;PARIS LYON;441;440;1;12;97.3;Plusieurs actes de malveillance ont provoqué des retards importants sur cette relation en décembre
2015-12;Sud-Est;MONTPELLIER;LYON PART DIEU;325;324;1;48;85.2;
2015-12;Sud-Est;NIMES;PARIS LYON;324;323;1;27;91.6;
2015-12;Est;PARIS EST;METZ;309;309;0;20;93.5;
2015-12;Sud-Est;PARIS LYON;ANNECY;165;165;0;14;91.5;
2015-12;Atlantique;PARIS MONTPARNASSE;ANGOULEME;331;330;1;15;95.5;
2015-12;Atlantique;PARIS MONTPARNASSE;BORDEAUX ST JEAN;650;649;1;33;94.9;
2015-12;Atlantique;PARIS MONTPARNASSE;LAVAL;235;235;0;19;91.9;
2015-12;Atlantique;PARIS MONTPARNASSE;ST PIERRE DES CORPS;463;463;0;32;93.1;
2015-12;Atlantique;PARIS MONTPARNASSE;VANNES;237;237;0;18;92.4;"Ce mois-ci, la liaison a été marquée par:
Le 01 : Un dérangement de signalisation en sortie de la gare Montparnasse (30TGV ; 541mn)
Le 02 : Un dérangement d’un passage à niveau à Evron (10TGV ; 258mn)
Le 06 : Un dérangement du Poste commandant la sortie de la Ligne Grande Vitesse à Connérré (52 TGV ; 1315mn)
Le 07 : Une coupure d’alimentation électrique de la caténaire sur la Ligne Grande Vitesse vers St Arnoult (20TGV ; 293mn)
Le 08 : Un colis suspect dans un TGV à Laval (16TGV, 580mn)
Le 23 : Une divagation de vaches  couplé  à un incident matériel sur un TER à Evron (14TGV ; 490mn)
Le 23 : Une demande de secours d’un Ter au Mans (11 TGV, 434mn)
Le 27 : Le heurt d’un chevreuil sur la Ligne Grande Vitesse vers Dollon (21TGV ; 469mn)
Le 28 : Un accident de personne au Mans (58TGV ; 2872mn)"
2015-12;Atlantique;POITIERS;PARIS MONTPARNASSE;491;491;0;21;95.7;
2015-12;Est;REIMS;PARIS EST;210;210;0;7;96.7;
2015-12;Sud-Est;SAINT ETIENNE CHATEAUCREUX;PARIS LYON;115;115;0;14;87.8;
2015-12;Atlantique;VANNES;PARIS MONTPARNASSE;232;232;0;17;92.7;"Ce mois-ci, la liaison a été marquée par:
Le 01 : Un dérangement de signalisation en sortie de la gare Montparnasse (30TGV ; 541mn)
Le 02 : Un dérangement d’un passage à niveau à Evron (10TGV ; 258mn)
Le 06 : Un dérangement du Poste commandant la sortie de la Ligne Grande Vitesse à Connérré (52 TGV ; 1315mn)
Le 07 : Une coupure d’alimentation électrique de la caténaire sur la Ligne Grande Vitesse vers St Arnoult (20TGV ; 293mn)
Le 08 : Un colis suspect dans un TGV à Laval (16TGV, 580mn)
Le 23 : Une divagation de vaches  couplé  à un incident matériel sur un TER à Evron (14TGV ; 490mn)
Le 23 : Une demande de secours d’un Ter au Mans (11 TGV, 434mn)
Le 27 : Le heurt d’un chevreuil sur la Ligne Grande Vitesse vers Dollon (21TGV ; 469mn)
Le 28 : Un accident de personne au Mans (58TGV ; 2872mn)"
2016-01;Sud-Est;AIX EN PROVENCE TGV;PARIS LYON;390;390;0;16;95.9;
2016-01;Atlantique;ANGOULEME;PARIS MONTPARNASSE;312;312;0;17;94.6;
2016-01;Nord;DUNKERQUE;PARIS NORD;232;232;0;16;93.1;
2016-01;Nord;LILLE;LYON PART DIEU;276;276;0;20;92.8;
2016-01;Nord;LILLE;PARIS NORD;508;508;0;41;91.9;
2016-01;Nord;MARSEILLE ST CHARLES;LILLE;193;193;0;26;86.5;
2016-01;Sud-Est;MARSEILLE ST CHARLES;LYON PART DIEU;501;501;0;52;89.6;
2016-01;Sud-Est;MARSEILLE ST CHARLES;PARIS LYON;388;388;0;17;95.6;
2016-01;Est;METZ;PARIS EST;266;266;0;26;90.2;
2016-01;Sud-Est;MONTPELLIER;LYON PART DIEU;300;300;0;43;85.7;
2016-01;Sud-Est;NIMES;PARIS LYON;283;283;0;28;90.1;
2016-01;Sud-Est;PARIS LYON;ANNECY;150;150;0;14;90.7;
2016-01;Sud-Est;PARIS LYON;CHAMBERY CHALLES LES EAUX;239;239;0;27;88.7;
2016-01;Sud-Est;PARIS LYON;MARSEILLE ST CHARLES;387;387;0;13;96.6;
2016-01;Sud-Est;PARIS LYON;MULHOUSE VILLE;251;251;0;29;88.4;
2016-01;Sud-Est;PARIS LYON;NIMES;256;256;0;13;94.9;
2016-01;Sud-Est;PARIS LYON;SAINT ETIENNE CHATEAUCREUX;103;103;0;10;90.3;
2016-01;Sud-Est;PARIS LYON;VALENCE ALIXAN TGV;258;258;0;7;97.3;
2016-01;Atlantique;PARIS MONTPARNASSE;LE MANS;390;390;0;14;96.4;
2016-01;Atlantique;PARIS MONTPARNASSE;QUIMPER;182;182;0;6;96.7;
2016-01;Atlantique;PARIS MONTPARNASSE;ST MALO;87;87;0;4;95.4;
2016-01;Atlantique;QUIMPER;PARIS MONTPARNASSE;192;192;0;6;96.9;
2016-01;Est;REIMS;PARIS EST;188;188;0;7;96.3;
2016-01;Atlantique;RENNES;LYON PART DIEU;86;86;0;9;89.5;
2016-01;Atlantique;TOURS;PARIS MONTPARNASSE;178;178;0;20;88.8;
2016-02;Sud-Est;AIX EN PROVENCE TGV;PARIS LYON;405;405;0;27;93.3;
2016-02;Sud-Est;ANNECY;PARIS LYON;190;190;0;17;91.1;3 accidents de personne et 2 heurts d'animaux sauvages ont généré quelques retards importants sur cette relation en février
2016-02;Sud-Est;AVIGNON TGV;PARIS LYON;470;470;0;52;88.9;
2016-02;Sud-Est;BESANCON FRANCHE COMTE TGV;PARIS LYON;215;215;0;13;94.0;
2016-02;Sud-Est;DIJON VILLE;PARIS LYON;439;439;0;31;92.9;
2016-02;Nord;LILLE;PARIS NORD;562;562;0;57;89.9;
2016-02;Sud-Est;LYON PART DIEU;MARSEILLE ST CHARLES;571;571;0;83;85.5;
2016-02;Sud-Est;LYON PART DIEU;PARIS LYON;599;599;0;39;93.5;
2016-02;Sud-Est;MARSEILLE ST CHARLES;PARIS LYON;402;402;0;27;93.3;
2016-02;Sud-Est;MULHOUSE VILLE;PARIS LYON;301;301;0;24;92.0;
2016-02;Est;NANTES;STRASBOURG;37;37;0;3;91.9;
2016-02;Sud-Est;NICE VILLE;PARIS LYON;173;173;0;24;86.1;
2016-02;Est;PARIS EST;REIMS;208;208;0;17;91.8;
2016-02;Sud-Est;PARIS LYON;ANNECY;162;162;0;14;91.4;
2016-02;Sud-Est;PARIS LYON;BESANCON FRANCHE COMTE TGV;207;207;0;15;92.8;2 accidents de personne et 1 vol de câbles ont généré quelques retards importants sur cette relation en février
2016-02;Sud-Est;PARIS LYON;CHAMBERY CHALLES LES EAUX;230;230;0;30;87.0;
2016-02;Sud-Est;PARIS LYON;DIJON VILLE;451;451;0;21;95.3;
2016-02;Sud-Est;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN;194;194;0;21;89.2;
2016-02;Sud-Est;PARIS LYON;NICE VILLE;178;178;0;23;87.1;
2016-02;Atlantique;PARIS MONTPARNASSE;LAVAL;220;220;0;5;97.7;
2016-02;Atlantique;PARIS MONTPARNASSE;ST MALO;95;95;0;5;94.7;
2016-02;Atlantique;RENNES;LYON PART DIEU;96;96;0;4;95.8;
2016-02;Atlantique;ST PIERRE DES CORPS;PARIS MONTPARNASSE;412;412;0;53;87.1;
2016-02;Est;STRASBOURG;NANTES;36;36;0;2;94.4;
2016-02;Sud-Est;TOULON;PARIS LYON;248;248;0;27;89.1;
2016-02;Atlantique;TOURS;PARIS MONTPARNASSE;193;193;0;21;89.1;
2016-03;Sud-Est;AIX EN PROVENCE TGV;PARIS LYON;425;425;0;25;94.1;Plusieurs accidents de personne (ou présences de personnes aux abords des voies) ont généré des retards importants sur cette relation en mars.
2016-03;Atlantique;BREST;PARIS MONTPARNASSE;212;212;0;14;93.4;"Ce mois-ci, la ligne a été retardée par:

01-03  : Défaillance matérielle à Montrouge (99 TGV ; 4563 minutes)
22-03  : Choc anormal à Montrouge (42 TGV ; 1007 minutes)
17-03  : Raté de fermeture PN à Massy Palaiseau (29 TGV ; 280 minutes)
11-03  : Dérangement d’installation à St Léger (11 TGV ; 209 minutes)
29-03  : Choc avec un animal entre Massy et Marcoussis (8 TGV ; 140 minutes)
11-03  : Dérangement installation à Marcoussis (23 TGV ; 129 minutes)
18-03  : Défaillance matérielle à Montrouge (12 TGV ; 107 minutes)
18-03  : Alerte à la bombe à Paris Montparnasse (10 TGV ; 335 minutes) 
04-03  : Soin matériel à Montrouge (8 TGV ; 191 minutes)
18-03  : Raté d’ouverture d’un passage à niveau à sillé-Le-guillaume (13 TGV ; 201 minutes)
17-03  : Manifestations à Rennes (8 TGV ; 279 minutes)
04-03  : Défaillance matérielle à Rennes (10 TGV ; 141 minutes)
22-03  : Manifestations à Pontchaillou (8 TGV ; 319 minutes)
29-03  : Découverte d’un obus à Laval (20 TGV ; 627 minutes)
10-03 : Incident caténaire à Dollon (52 TGV ; 1006 minutes)"
2016-03;Sud-Est;CHAMBERY CHALLES LES EAUX;PARIS LYON;249;249;0;27;89.2;
2015-08;Sud-Est;PARIS LYON;MULHOUSE VILLE;271;271;0;15;94.5;
2015-08;Sud-Est;PARIS LYON;PERPIGNAN;207;203;4;58;71.4;En août 2015, la régularité des TGV Sud-Est a été impactée par les conditions climatiques (incendies aux abords des voies, orages)
2015-08;Sud-Est;PARIS LYON;VALENCE ALIXAN TGV;298;294;4;36;87.8;
2015-08;Sud-Est;PERPIGNAN;PARIS LYON;180;176;4;49;72.2;En août 2015, la régularité des TGV Sud-Est a été impactée par les conditions climatiques (incendies aux abords des voies, orages)
2015-08;Atlantique;QUIMPER;PARIS MONTPARNASSE;225;225;0;20;91.1;"Ce mois-ci, l'OD a été touché sur ligne garnde vitesse par un dérangement d'installations à Marcoussis le 4 (20 TGV ; 564mn), un colis susspect en gare de Paris Montparnasse le 20 (10 TGV ; 318mn), la défaillance d'une rame en sortie de gare à Paris Montparnasse le 26 (15 TGV ; 427mn), de multiples disjonctions provoquées par un oiseau en toiture de rame à Massy le 27 (14 TGV ; 325mn), un dérangement d'installation à Massy le 28 (38 TGV ; 674mn) et le 29 (11 TGV ; 331mn).
Sur ligne classique, l'OD a été touchée par le heurt d'un tracteur à Noyal Acigné le 2 (102 TGV; 7814mn), le heurt d'un animal à Malansac le 5 (5 TGV ; 297mn) et un arbre sur la caténaire à la sortie du Mans le 24 (14 TGV ; 640mn)"
2015-08;Atlantique;RENNES;PARIS MONTPARNASSE;559;557;2;52;90.7;"Ce mois-ci, l'OD a été touché sur ligne garnde vitesse par un dérangement d'installations à Marcoussis le 4 (20 TGV ; 564mn), un colis susspect en gare de Paris Montparnasse le 20 (10 TGV ; 318mn), la défaillance d'une rame en sortie de gare à Paris Montparnasse le 26 (15 TGV ; 427mn), de multiples disjonctions provoquées par un oiseau en toiture de rame à Massy le 27 (14 TGV ; 325mn), un dérangement d'installation à Massy le 28 (38 TGV ; 674mn) et le 29 (11 TGV ; 331mn).
Sur ligne classique, l'OD a été touchée par le heurt d'un tracteur à Noyal Acigné le 2 (102 TGV; 7814mn) et un arbre sur la caténaire à la sortie du Mans le 24 (14 TGV ; 640mn)"
2015-08;Atlantique;TOURS;PARIS MONTPARNASSE;187;187;0;16;91.4;
2015-09;Sud-Est;ANNECY;PARIS LYON;192;192;0;17;91.1;
2015-09;Sud-Est;BESANCON FRANCHE COMTE TGV;PARIS LYON;222;222;0;18;91.9;
2015-09;Sud-Est;DIJON VILLE;PARIS LYON;458;458;0;47;89.7;
2015-09;Atlantique;LYON PART DIEU;RENNES;86;86;0;27;68.6;
2015-09;Sud-Est;MONTPELLIER;LYON PART DIEU;325;320;5;61;80.9;
2015-09;Sud-Est;NICE VILLE;PARIS LYON;194;193;1;49;74.6;Un accident de personne sur la LGV Sud-Est le 30 septembre a retardé de nombreux TGV et provoqué des retards importants
2015-09;Sud-Est;PARIS LYON;GRENOBLE;235;235;0;24;89.8;Un accident de personne sur la LGV Sud-Est le 30 septembre a retardé de nombreux TGV et provoqué des retards importants
2015-09;Atlantique;PARIS MONTPARNASSE;ANGOULEME;321;321;0;20;93.8;
2015-09;Atlantique;PARIS MONTPARNASSE;TOURS;189;189;0;24;87.3;
2015-09;Atlantique;RENNES;LYON PART DIEU;92;92;0;7;92.4;
2015-09;Atlantique;RENNES;PARIS MONTPARNASSE;554;554;0;60;89.2;"Cette ligne a été touchée par les incidents suivants :
- 02/09 : panne d’un TER au Mans (7 trains touchés ; 436 minutes perdues)
- 03/09 : problème d’aiguillage à St Léger (LGV) (34 trains touchés ; 811 minutes perdues)
- 11/09 : heurt d’un sanglier vers St Arnoult (20 trains touchés ; 1231 minutes perdues)
- 24/09 : dérangement d’aiguillage à Laval (14 trains touchés ; 951 minutes perdues)
- 27/09 : accident de personne vers Vitré (14 trains touchés ; 1432 minutes perdues)"
2015-09;Atlantique;ST PIERRE DES CORPS;PARIS MONTPARNASSE;427;427;0;68;84.1;
2015-10;Sud-Est;GRENOBLE;PARIS LYON;237;236;1;16;93.2;Des retards importants  ont été générés par l'envahissement et la dégradation de la gare de Moirans par des manifestants le 20 octobre
2015-10;Sud-Est;MACON LOCHE;PARIS LYON;199;199;0;22;88.9;
2015-10;Nord;MARSEILLE ST CHARLES;LILLE;214;214;0;61;71.5;"Mois d'octobre particulièrement marqué par : 
- Un vol de câble à Sainghin le 30
- Un accident de personne à Grenay le 24   
- Quelques dérangements d'installation et des incidents matériels
- Une multitude de colis suspects et quelques personnes aux abords des voies"
2015-10;Est;PARIS EST;METZ;307;307;0;16;94.8;
2015-10;Est;PARIS EST;REIMS;213;213;0;17;92.0;
2015-10;Est;PARIS EST;STRASBOURG;444;444;0;29;93.5;
2015-10;Sud-Est;PARIS LYON;AVIGNON TGV;528;521;7;37;92.9;
2015-10;Sud-Est;PARIS LYON;BELLEGARDE (AIN);221;220;1;36;83.6;
2015-10;Sud-Est;PARIS LYON;GRENOBLE;242;241;1;28;88.4;
2015-10;Sud-Est;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN;205;204;1;10;95.1;
2015-10;Sud-Est;PARIS LYON;LYON PART DIEU;636;635;1;39;93.9;
2015-10;Sud-Est;PARIS LYON;MACON LOCHE;212;211;1;13;93.8;
2015-10;Sud-Est;PARIS LYON;MONTPELLIER;332;331;1;34;89.7;
2015-10;Sud-Est;PARIS LYON;TOULON;262;252;10;44;82.5;
2015-10;Atlantique;PARIS MONTPARNASSE;LAVAL;229;229;0;16;93.0;Cette ligne a été touchée par un incident majeur lié à l’alimentation électrique le 22/10 près du Mans affectant 82 trains pour 4852 minutes.  Par ailleurs, des dérangements de signalisation ont entraîné des retards sur la Ligne à Grande Vitesse les 2/10 (14 TGV retardés pour 524 minutes) & 19/10 (12 TGV pour 279 minutes) et en sortie du Mans (côté Laval) le 8/10 (23 trains pour 534 minutes). De plus, cette ligne a été ralentie par deux défaillances Matériel : l’une sur la Ligne à Grande Vitesse le 11/10 (10 trains pour 222 minutes), l’autre vers Laval le 27/10 (9 trains pour 182 minutes).
2015-10;Atlantique;PARIS MONTPARNASSE;QUIMPER;201;201;0;17;91.5;Cette ligne a été touchée par deux incidents majeurs liés à l’alimentation électrique : l’un au Mans le 22/10 retardant 82 trains pour 4852 minutes de retard en cumul, le second en gare de Rennes le 23/10, suite à la chute d’une grue (12 trains pour 610 minutes). Par ailleurs, des dérangements de signalisation ont entraîné des retards sur la Ligne à Grande Vitesse les 2/10 (14 TGV retardés pour 524 minutes) & 19/10 (12 TGV pour 279 minutes) et en sortie du Mans (côté Laval) le 8/10 (23 trains pour 534 minutes). De plus, cette ligne a été ralentie par deux défaillances Matériel : l’une sur la Ligne à Grande Vitesse le 11/10 (10 trains pour 222 minutes), l’autre vers Laval le 27/10 (9 trains pour 182 minutes).
2015-10;Atlantique;PARIS MONTPARNASSE;ST MALO;100;98;2;6;93.9;
2015-10;Atlantique;PARIS MONTPARNASSE;ST PIERRE DES CORPS;460;460;0;31;93.3;
2015-10;Nord;PARIS NORD;DUNKERQUE;266;266;0;19;92.9;
2015-10;Atlantique;POITIERS;PARIS MONTPARNASSE;497;497;0;46;90.7;
2015-10;Atlantique;VANNES;PARIS MONTPARNASSE;229;229;0;15;93.4;Cette ligne a été touchée par deux incidents majeurs liés à l’alimentation électrique : l’un au Mans le 22/10 retardant 82 trains pour 4852 minutes de retard en cumul, le second en gare de Rennes le 23/10, suite à la chute d’une grue (12 trains pour 610 minutes). Par ailleurs, des dérangements de signalisation ont entraîné des retards sur la Ligne à Grande Vitesse les 2/10 (14 TGV retardés pour 524 minutes) & 19/10 (12 TGV pour 279 minutes) et en sortie du Mans (côté Laval) le 8/10 (23 trains pour 534 minutes). De plus, cette ligne a été ralentie par deux défaillances Matériel : l’une sur la Ligne à Grande Vitesse le 11/10 (10 trains pour 222 minutes), l’autre vers Laval le 27/10 (9 trains pour 182 minutes).
2015-11;Sud-Est;AIX EN PROVENCE TGV;PARIS LYON;456;455;1;28;93.8;Suite aux attentats du 13 novembre à Paris, une recrudescence d'alertes à la bombe et d'interventions des forces de l'ordre ont impacté la régularité des TGV
2015-11;Sud-Est;LE CREUSOT MONTCEAU MONTCHANIN;PARIS LYON;212;212;0;20;90.6;
2015-11;Nord;LILLE;MARSEILLE ST CHARLES;209;209;0;39;81.3;
2015-11;Sud-Est;LYON PART DIEU;MARSEILLE ST CHARLES;591;591;0;113;80.9;
2015-11;Sud-Est;MARSEILLE ST CHARLES;LYON PART DIEU;533;532;1;90;83.1;
2015-11;Sud-Est;MARSEILLE ST CHARLES;PARIS LYON;439;437;2;31;92.9;Suite aux attentats du 13 novembre à Paris, une recrudescence d'alertes à la bombe et d'interventions des forces de l'ordre ont impacté la régularité des TGV
2015-11;Sud-Est;MONTPELLIER;PARIS LYON;329;328;1;69;79.0;Suite aux attentats du 13 novembre à Paris, une recrudescence d'alertes à la bombe et d'interventions des forces de l'ordre ont impacté la régularité des TGV
2015-11;Atlantique;NANTES;PARIS MONTPARNASSE;562;560;2;40;92.9;
2015-11;Est;PARIS EST;METZ;300;300;0;26;91.3;
2015-11;Sud-Est;PARIS LYON;SAINT ETIENNE CHATEAUCREUX;113;113;0;19;83.2;
2015-11;Atlantique;PARIS MONTPARNASSE;ANGOULEME;320;317;3;24;92.4;
2015-11;Atlantique;PARIS MONTPARNASSE;QUIMPER;185;185;0;16;91.4;
2015-11;Atlantique;PARIS MONTPARNASSE;ST PIERRE DES CORPS;444;444;0;34;92.3;
2015-11;Atlantique;PARIS MONTPARNASSE;TOURS;184;184;0;22;88.0;
2015-11;Sud-Est;PERPIGNAN;PARIS LYON;155;154;1;38;75.3;Suite aux attentats du 13 novembre à Paris, une recrudescence d'alertes à la bombe et d'interventions des forces de l'ordre ont impacté la régularité des TGV
2015-11;Atlantique;RENNES;PARIS MONTPARNASSE;561;561;0;30;94.7;
2015-12;Sud-Est;AVIGNON TGV;PARIS LYON;531;529;2;39;92.6;
2015-12;Nord;LILLE;MARSEILLE ST CHARLES;217;217;0;26;88.0;
2015-12;Sud-Est;LYON PART DIEU;PARIS LYON;626;621;5;44;92.9;
2015-12;Sud-Est;MONTPELLIER;PARIS LYON;323;322;1;20;93.8;
2015-12;Sud-Est;NICE VILLE;PARIS LYON;191;189;2;14;92.6;
2015-12;Sud-Est;PARIS LYON;AVIGNON TGV;493;492;1;21;95.7;
2015-12;Sud-Est;PARIS LYON;BELLEGARDE (AIN);206;206;0;22;89.3;
2015-12;Sud-Est;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN;206;203;3;13;93.6;
2015-12;Sud-Est;PARIS LYON;MONTPELLIER;313;312;1;13;95.8;
2015-12;Sud-Est;PARIS LYON;NIMES;311;310;1;19;93.9;
2015-12;Atlantique;PARIS MONTPARNASSE;ANGERS SAINT LAUD;438;438;0;24;94.5;
